Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name
20374090,veterinary,Animal birth control/neutering of stray dogs,2023-07-17 05:42:00.000000000,Kengeri,Closed,"ABC team will visit your wards regularly for neutering and Vaccination and also on complaints, As per Supreme court orders ,street dogs cannot be relocated from its original place.you can send your complaints directly to 9480685386",Dr. Venkatesh K.M/ADAH
20374089,Solid Waste (Garbage) Related,Garbage dumping in vacant sites,2023-07-17 05:41:00.000000000,Vasanthapura,Closed,Attend the complent,Santhosh Kumar H S/AEE
20374088,Electrical,Street Light Not Working,2023-07-17 05:38:00.000000000,Jnanabharathi Ward,Closed,attended,Gavi Siddiah/AEE
20374087,Solid Waste (Garbage) Related,Garbage dump,2023-07-17 05:31:00.000000000,Chikpete,Closed,9,Somashekar /JHI
20374086,Electrical,Street Light Not Working,2023-07-17 05:30:00.000000000,Kottigepalya,Closed,attended,Gavi Siddiah/AEE
20374085,Road Maintenance(Engg),Potholes,2023-07-17 05:30:00.000000000,Chikpete,Closed,Closed,Hemalatha/AEE
20374084,Solid Waste (Garbage) Related,Garbage dump,2023-07-17 05:27:00.000000000,Binnipet,Closed,Complainant cleared,Govind S/JHI
20374083,Electrical,Street Light Not Working,2023-07-17 05:27:00.000000000,Hegganahalli,Closed,Attended,Gurappa Y Doddamani/AEE
20374082,Road Maintenance(Engg),Potholes,2023-07-17 05:26:00.000000000,Yelachenahalli,Closed,Closed,ROHIT T/AEE
20374081,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2023-07-17 05:24:00.000000000,Hoodi,Closed,Attended,SWM AEE Mahadevapura sub division/AEE
20374080,Optical Fiber Cables (OFC),Without permission digging of road,2023-07-17 05:20:00.000000000,Hegganahalli,Closed,Closed,Nagesh Murthy/AEE
20374079,Electrical,Street Lights Switched On During Day Time,2023-07-17 05:19:00.000000000,Hagadooru,Closed,Attended,Sharath Kumar/AEE
20374078,Town Planning,Construction not done as per approved plan (Building Bye Law Violations),2023-07-17 05:18:00.000000000,Byrasandra,Registered,Transferred Task,Alaganathan .H/ADTP
20374077,Road Maintenance(Engg),Road side drains,2023-07-17 05:17:00.000000000,Hegganahalli,Closed,Resolved,Nagesh Murthy/AEE
20374076,Road Maintenance(Engg),Road side drains,2023-07-17 05:15:00.000000000,Doddanekkundi,Closed,Attended,Srinivas Murthy/AEE
20374075,Electrical,Street Light Not Working,2023-07-17 05:14:00.000000000,Bilekahalli,Closed,Attended,Sandeep/AEE
20374074,Electrical,Street Light Not Working,2023-07-17 05:14:00.000000000,Hagadooru,Closed,Attended,Sharath Kumar/AEE
20374073,Electrical,Street Light Not Working,2023-07-17 05:09:00.000000000,Horamavu,Closed,Attended,Sharath Kumar/AEE
20374072,Electrical,Street Light Not Working,2023-07-17 05:07:00.000000000,BTM Layout,Closed,Attended,Jnanesh/AEE
20374071,Road Maintenance(Engg),footpath encroachment,2023-07-17 05:03:00.000000000,Vasanthapura,Closed,Closed,ROHIT T/AEE
